date,actual_total,predicted_total,mad
2012-08-07,4967,4573.59,38.34
2012-08-08,7534,6914.78,36.17
2012-08-09,7286,6901.72,27.03
2012-08-10,5786,6618.08,43.53
2012-08-11,6299,6430.35,32.26
2012-08-12,6544,6904.83,36.33
2012-08-13,6883,6977.4,17.49
2012-08-14,6784,6940.3,38.46
2012-08-15,7347,7121.59,23.87
2012-08-16,7605,7210.28,32.31
2012-08-17,7148,5461.96,72.08
2012-08-18,7865,7373.0,34.15
2012-08-19,4549,5552.21,65.66
2012-08-20,6530,6311.6,31.2
2012-08-21,7006,6905.36,30.11
2012-08-22,7375,6822.48,35.08
2012-08-23,7765,7082.15,34.17
2012-08-24,7582,7074.63,26.12
2012-08-25,6053,6272.52,35.99
2012-08-26,5255,4922.15,49.62
2012-08-27,6917,6752.42,17.13
2012-08-28,7040,7097.25,26.49
2012-08-29,7697,7286.89,29.97
2012-08-30,7713,7141.46,33.04
2012-08-31,7350,6987.15,53.12
2012-09-01,6140,6463.75,34.87
2012-09-02,5810,5852.44,45.05
2012-09-03,6034,6325.67,47.64
2012-09-04,6864,6720.35,28.2
2012-09-05,7112,6764.76,35.59
2012-09-06,6203,6355.89,49.87
2012-09-07,7504,6969.26,31.9
2012-09-08,5976,5494.72,62.19
2012-09-09,8227,6990.74,68.34
2012-09-10,7525,6799.64,37.91
2012-09-11,7767,7169.99,44.84
2012-09-12,7870,7082.99,43.6
2012-09-13,7804,7092.82,40.75
2012-09-14,8009,7122.68,37.99
2012-09-15,8714,7444.92,70.22
2012-09-16,7333,6967.34,47.21
2012-09-17,6869,6110.13,37.92
2012-09-18,4073,4873.41,51.41
2012-09-19,7591,6681.12,48.74
2012-09-20,7720,6904.34,46.89
2012-09-21,8167,7019.9,52.41
2012-09-22,8395,7296.6,62.16
2012-09-23,7907,6538.64,79.98
2012-09-24,7436,6334.65,50.35
2012-09-25,7538,7054.9,42.35
2012-09-26,7733,6952.95,42.91
2012-09-27,7393,6604.57,52.32
2012-09-28,7415,6805.24,36.92
2012-09-29,8555,7060.22,71.6
2012-09-30,6889,6241.73,53.91
2012-10-01,6778,5490.83,56.1
2012-10-02,4639,3951.08,93.61
2012-10-03,7572,6363.76,59.43
2012-10-04,7328,6426.68,41.33
2012-10-05,8156,6676.86,62.69
2012-10-06,7965,6225.04,75.51
2012-10-07,3510,3536.96,36.27
2012-10-08,5478,3891.28,71.76
2012-10-09,6392,5376.23,46.42
2012-10-10,7691,5917.9,78.71
2012-10-11,7570,5570.06,90.04
2012-10-12,7282,5560.64,73.88
2012-10-13,7109,5133.05,83.83
2012-10-14,6639,5980.3,39.91
2012-10-15,5875,5067.56,46.08
2012-10-16,7534,5807.08,77.67
2012-10-17,7461,5625.08,80.11
2012-10-18,7509,5835.33,72.92
2012-10-19,5424,5420.88,73.72
2012-10-20,8090,5956.77,90.47
2012-10-21,6824,5400.79,70.43
2012-10-22,7058,5903.67,55.58
2012-10-23,7466,6479.04,51.87
2012-10-24,7693,6472.98,56.09
2012-10-25,7359,5664.78,71.62
2012-10-26,7444,5736.09,71.78
2012-10-27,7852,6071.93,80.51
2012-10-28,4459,3820.87,44.13
2012-10-29,22,28.08,6.08
2012-10-30,1096,1696.81,86.06
2012-10-31,5566,4814.83,38.19
2012-11-01,5986,4457.85,64.17
2012-11-02,5847,4791.34,46.86
2012-11-03,5138,3838.03,55.81
2012-11-04,5107,3832.74,60.53
2012-11-05,5259,4369.12,41.03
2012-11-06,5686,4413.08,58.57
2012-11-07,5035,3957.14,49.84
2012-11-08,5315,4851.1,34.61
2012-11-09,5992,5051.34,40.49
2012-11-10,6536,4881.41,72.0
2012-11-11,6852,4685.01,90.71
2012-11-12,6269,4525.64,79.94
2012-11-13,4094,3997.23,30.28
2012-11-14,5495,4523.44,46.85
2012-11-15,5445,4462.28,45.79
2012-11-16,5698,4871.14,38.45
2012-11-17,5629,4352.22,54.78
2012-11-18,4669,3789.48,47.78
2012-11-19,5499,4672.32,38.33
2012-11-20,5634,4790.33,42.83
2012-11-21,5146,5013.62,75.82
2012-11-22,2425,3478.19,51.12
2012-11-23,3910,5109.21,110.37
2012-11-24,2277,3514.97,52.73
2012-11-25,2424,3116.26,28.84
2012-11-26,5087,4723.26,23.54
2012-11-27,3959,3278.65,35.12
2012-11-28,5260,4495.35,40.32
