instant,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,day,month_name,day_name,is_weekend,is_peak_hour,season_label,weather_label,demand_category,year,quarter,week_of_year,day_of_year,hour_group,business_hours,late_night,rush_hour,is_summer,is_winter,is_fall,is_spring,weather_severity,hr_sin,hr_cos,mnth_sin,mnth_cos
1,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,1,4,2,1,0,1,0,1,2011,1,52,1,3,0,1,0,0,0,0,1,0,0.0,1.0,0.4999999999999999,0.8660254037844387
2,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,1,4,2,1,0,1,0,1,2011,1,52,1,3,0,1,0,0,0,0,1,0,0.2588190451025207,0.9659258262890684,0.4999999999999999,0.8660254037844387
3,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,1,4,2,1,0,1,0,1,2011,1,52,1,3,0,1,0,0,0,0,1,0,0.4999999999999999,0.8660254037844387,0.4999999999999999,0.8660254037844387
4,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,1,4,2,1,0,1,0,1,2011,1,52,1,3,0,1,0,0,0,0,1,0,0.7071067811865476,0.7071067811865476,0.4999999999999999,0.8660254037844387
5,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,1,4,2,1,0,1,0,1,2011,1,52,1,3,0,1,0,0,0,0,1,0,0.8660254037844386,0.5000000000000001,0.4999999999999999,0.8660254037844387
6,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,1,4,2,1,0,1,3,1,2011,1,52,1,3,0,1,0,0,0,0,1,1,0.9659258262890684,0.2588190451025207,0.4999999999999999,0.8660254037844387
7,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,1,4,2,1,0,1,0,1,2011,1,52,1,3,0,0,0,0,0,0,1,0,1.0,6.123233995736766e-17,0.4999999999999999,0.8660254037844387
8,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,1,4,2,1,1,1,0,1,2011,1,52,1,2,0,0,1,0,0,0,1,0,0.9659258262890684,-0.2588190451025206,0.4999999999999999,0.8660254037844387
9,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,1,4,2,1,1,1,0,1,2011,1,52,1,2,0,0,1,0,0,0,1,0,0.8660254037844387,-0.4999999999999998,0.4999999999999999,0.8660254037844387
10,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,1,4,2,1,1,1,0,1,2011,1,52,1,2,1,0,1,0,0,0,1,0,0.7071067811865476,-0.7071067811865475,0.4999999999999999,0.8660254037844387
