hr,actual_mean,prediction_mean,mad
0,69.29,62.0,23.26
1,43.6,39.24,18.49
2,28.28,29.61,17.99
3,14.13,17.82,10.73
4,8.63,12.11,5.28
5,28.6,26.35,11.33
6,101.22,87.95,26.4
7,286.36,245.18,82.02
8,485.34,421.37,113.77
9,291.43,254.78,61.54
10,232.0,212.53,38.54
11,282.7,244.61,51.76
12,348.25,294.16,72.0
13,342.64,295.07,67.74
14,324.64,285.58,63.23
15,342.4,294.23,72.86
16,424.29,367.7,75.28
17,607.14,543.48,100.79
18,545.2,496.44,95.64
19,390.36,372.26,60.61
20,278.35,264.64,47.34
21,207.69,198.38,39.82
22,157.3,149.52,34.76
23,110.47,99.59,27.68
