model,hr,absolute_error
Gradient Boosting,0,26.73376325540236
Gradient Boosting,1,19.643338531087366
Gradient Boosting,2,17.667025740063103
Gradient Boosting,3,19.435649657484174
Gradient Boosting,4,9.182844144106758
Gradient Boosting,5,8.448582728340883
Gradient Boosting,6,28.84117671764412
Gradient Boosting,7,105.9168930055344
Gradient Boosting,8,121.08899922099077
Gradient Boosting,9,68.39700084855349
Gradient Boosting,10,39.10389835167378
Gradient Boosting,11,53.808107113399366
Gradient Boosting,12,75.73277692720728
Gradient Boosting,13,70.7676664946698
Gradient Boosting,14,67.67711286790934
Gradient Boosting,15,76.98217750476002
Gradient Boosting,16,91.69891572537188
Gradient Boosting,17,118.6228041296382
Gradient Boosting,18,112.2333955541888
Gradient Boosting,19,69.91415263119868
Gradient Boosting,20,55.266168923985035
Gradient Boosting,21,39.96101560894807
Gradient Boosting,22,37.14871723155052
Gradient Boosting,23,30.756402894481614
Linear Regression,0,60.97024688789377
Linear Regression,1,65.52713809579251
Linear Regression,2,67.29934817018574
Linear Regression,3,67.50869292076483
Linear Regression,4,67.96999940352555
Linear Regression,5,62.93211123501093
Linear Regression,6,49.21565063366521
Linear Regression,7,168.6915540409785
Linear Regression,8,272.7809008963195
Linear Regression,9,60.97240631865051
Linear Regression,10,77.01689201607917
Linear Regression,11,92.01653007077215
Linear Regression,12,99.99196785156524
Linear Regression,13,101.87835802924718
Linear Regression,14,106.07085773338753
Linear Regression,15,96.0510432396211
Linear Regression,16,101.48086996662923
Linear Regression,17,211.69033223079015
Linear Regression,18,196.6605802508318
Linear Regression,19,119.45364843036874
Linear Regression,20,73.47060873318169
Linear Regression,21,52.91099743766281
Linear Regression,22,46.62608469775929
Linear Regression,23,47.82432845102736
Random Forest,0,20.811638688511866
Random Forest,1,14.786840825288749
Random Forest,2,8.845821133317152
Random Forest,3,4.70607924113923
Random Forest,4,3.0743977776524978
Random Forest,5,8.32971925280602
Random Forest,6,23.606649015208042
Random Forest,7,77.23233226567726
Random Forest,8,108.88769909253121
Random Forest,9,54.44048803880922
Random Forest,10,37.82380612688467
Random Forest,11,50.40550494919629
Random Forest,12,80.0420728487787
Random Forest,13,74.4427906318808
Random Forest,14,69.549311100287
Random Forest,15,85.75335729060053
Random Forest,16,94.79322433603335
Random Forest,17,125.43857163342321
Random Forest,18,110.10743813317158
Random Forest,19,70.62504291391848
Random Forest,20,48.05027317230798
Random Forest,21,41.330894644422045
Random Forest,22,39.079446790736746
Random Forest,23,27.078518702418307
XGBoost,0,23.261852004610258
XGBoost,1,18.48672132111258
XGBoost,2,17.98745061457157
XGBoost,3,10.733661620329459
XGBoost,4,5.280163669919634
XGBoost,5,11.33377096388075
XGBoost,6,26.402374019225437
XGBoost,7,82.02292967504926
XGBoost,8,113.76775352160136
XGBoost,9,61.53548918830024
XGBoost,10,38.541845083236694
XGBoost,11,51.76041338178847
XGBoost,12,71.99803443119444
XGBoost,13,67.74248725420809
XGBoost,14,63.233520716837006
XGBoost,15,72.85542942726448
XGBoost,16,75.28404361254549
XGBoost,17,100.7899474575095
XGBoost,18,95.64194227244757
XGBoost,19,60.61428174580613
XGBoost,20,47.34380622759257
XGBoost,21,39.81810854559075
XGBoost,22,34.760774743067074
XGBoost,23,27.678396682216697
