instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,day,month_name,day_name,is_weekend,is_peak_hour,season_label,weather_label,demand_category,year,quarter,week_of_year,day_of_year,hour_group,business_hours,late_night,rush_hour,is_summer,is_winter,is_fall,is_spring,weather_severity,hr_sin,hr_cos,mnth_sin,mnth_cos
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,1,January,Saturday,1,0,Spring,Clear,Low,2011,1,52,1,Night,0,1,0,0,0,0,1,Good,0.0,1.0,0.49999999999999994,0.8660254037844387
2,2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,1,January,Saturday,1,0,Spring,Clear,Low,2011,1,52,1,Night,0,1,0,0,0,0,1,Good,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387
3,2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,1,January,Saturday,1,0,Spring,Clear,Low,2011,1,52,1,Night,0,1,0,0,0,0,1,Good,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387
4,2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,1,January,Saturday,1,0,Spring,Clear,Low,2011,1,52,1,Night,0,1,0,0,0,0,1,Good,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387
5,2011-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,1,January,Saturday,1,0,Spring,Clear,Low,2011,1,52,1,Night,0,1,0,0,0,0,1,Good,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387
6,2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,1,January,Saturday,1,0,Spring,Mist,Low,2011,1,52,1,Night,0,1,0,0,0,0,1,Moderate,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387
7,2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,1,January,Saturday,1,0,Spring,Clear,Low,2011,1,52,1,Night,0,0,0,0,0,0,1,Good,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387
8,2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,1,January,Saturday,1,1,Spring,Clear,Low,2011,1,52,1,Morning,0,0,1,0,0,0,1,Good,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387
9,2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,1,January,Saturday,1,1,Spring,Clear,Low,2011,1,52,1,Morning,0,0,1,0,0,0,1,Good,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387
10,2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,1,January,Saturday,1,1,Spring,Clear,Low,2011,1,52,1,Morning,1,0,1,0,0,0,1,Good,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387
11,2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,1,January,Saturday,1,0,Spring,Clear,Low,2011,1,52,1,Morning,1,0,0,0,0,0,1,Good,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387
12,2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,1,January,Saturday,1,0,Spring,Clear,Medium,2011,1,52,1,Morning,1,0,0,0,0,0,1,Good,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387
13,2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,1,January,Saturday,1,0,Spring,Clear,Medium,2011,1,52,1,Morning,1,0,0,0,0,0,1,Good,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387
14,2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,1,January,Saturday,1,0,Spring,Mist,Medium,2011,1,52,1,Afternoon,1,0,0,0,0,0,1,Moderate,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387
15,2011-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,1,January,Saturday,1,0,Spring,Mist,Medium,2011,1,52,1,Afternoon,1,0,0,0,0,0,1,Moderate,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387
16,2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,1,January,Saturday,1,0,Spring,Mist,Medium,2011,1,52,1,Afternoon,1,0,0,0,0,0,1,Moderate,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387
17,2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,1,January,Saturday,1,0,Spring,Mist,Medium,2011,1,52,1,Afternoon,1,0,0,0,0,0,1,Moderate,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387
