Feature,Importance
demand_category,0.75836008557113
registered,0.21088501158434478
casual,0.02979945037088672
instant,0.0003225791076807206
hum,6.532786637645457e-05
year,5.677611448029559e-05
windspeed,4.380944208491928e-05
temp,4.124632113591465e-05
atemp,3.792347184663637e-05
is_weekend,3.562683250790556e-05
weekday,3.544604066954957e-05
month_name,3.544427506766301e-05
day_name,3.0309890139962266e-05
yr,2.756189958403777e-05
day_of_year,2.6300037888126683e-05
week_of_year,2.3021074934345454e-05
hr_sin,2.1169194202808864e-05
hr_cos,1.95358342849431e-05
hr,1.6419566261968112e-05
mnth_cos,1.562237464756975e-05
mnth_sin,1.4869208126942553e-05
quarter,9.458851969029173e-06
rush_hour,9.149626857739016e-06
workingday,8.172555481775177e-06
hour_group,7.312481684707058e-06
day,7.084866862161436e-06
mnth,7.056644125042255e-06
season_label,5.1083213928664575e-06
weathersit,4.906828495767875e-06
weather_severity,4.137447223635686e-06
business_hours,4.090100550242606e-06
weather_label,4.0035257002763745e-06
season,3.862793305519505e-06
is_fall,3.7060184300835584e-06
is_peak_hour,2.765313625295695e-06
is_summer,2.2795839558139255e-06
is_winter,2.0093490038460364e-06
holiday,7.382343965177151e-07
is_spring,3.424663936901901e-07
late_night,2.7891226381716064e-07
